Suquelish Dykailum 
Screen: Romog
Screw: Swage
Scribble: Belskrot
Scrupulous: Siseejoes
Scrutinize: Siseejize
Sculpture: Neljure
Sea: Tethy
Seagull: Tethswinji
Seal: Klaspal
Seam: Neam
Seamstress: Neminneer
Search: Blahnj
Seashore: Tethypellooch
Season: Humnee
Seasoning: Humnenig
Seat: Teeg
Second: Tanon
Secondhand: Tanonsage
Secret: Pekqern
Secretary: Flayjenneer
Sect: Kove
Section: Koevshin
Secure: Terpan
Security: Terpanwee
Seduce: Lurtesh
Seduced: Lurtesht
Seduces: Lurteshes
Seducing: Lurteshnig
See: Orin or Orit
Seed: Qeed
Seedy: Speetue
Seem: Drim 
Segment: Koment
Seize: Zear
Seldom: Thernklute
Seldomly: Thernklutly
Select: Lektin
Selected: Lektint
Selection: Lektishin
Self: Sulf
Selfish: Sulfish
Selfishness: Sulfishnoss
Sell: Svin
Semester: Mejetter
Semicolon: Quinniatyl
Seminar: Komeezzium
Senate: Moodah
Senator: Moodahneer
Send: Trepp
Senior: Olgiss
Sensation: Eppsoeshin
Sense: Eppsone
Senseless: Eppsoloss
Sensibility: Eppsolonnity
Sensible: Eppsobole
Sensitive: Eppsotiff
Sensitivity: Eppsotiffitty
Sensual: Pesqahlay
Sentence: Sqahkale
Sentiment: Iddion
Sentimental: Iddionntill
Sentuality: Pesqahtallity
Separate: Seprevate
Separation: Seprevayshin
September: Zebwon
Serene: Moorreln
Series: Riessurs
Serious: Warrannis
Seriously: Warrannisly
Servant: Tanroge
Serve: Tanroe
Service: Tanrove
Set: Teg
Settle: Teggall
Settlement: Teggallmont
Seven: Fin
Seventeen: Plurfin
Seventeenth: Plurfinth
Seventh: Finth
Seventieth: Finzanieth
Seventy: Finzan
Several: Valseni
Severe: Gittear
Sew: Jial
Sewing Machine: Jialchigrut
Sewing: Jialnig
Sex: Frap
Sexual: Frappule
Sexuality: Frappuality
Shabby: Yithshown
Shade: Neke
Shadow: Yoshow
Shake: Jiggamp 
Shame: Shahhone
Shameful: Shahohni
Shameless: Shahohnloss
Shape: Shripe
Share: Thren
Shareholder: Threngrappeer
Sharp: Trasp
Sharpen: Traspen
Sharpening: Traspennig
Shave: Trave
Shawl: Luam
She: Gwee
Shed: Huln
Sheep: Pleesh
Sheer: Zleer
Sheet: Downt
Shelf: Laffet 
Shell: Choel
Shelter: Hazzeej
Shepherd: Pleesheer
Shield: Garkutch
Shift: Fluj
Shine: Yoshkim
Ship: Korft
Shipment: Korftmont
Shipped: Korfad
Shirt: Trest
Shit: Kolah 
Shiver: Vorron
Shock: Jittar
Shoe: Thahta
Shoot: Blate
Shop: Troe
Shore: Pellooch
Short: Shry
Shortage: Shrygage
Shorthand: Shrysaje
Shortten: Shrygon
Shot: Blat
Should: Dr
Shoulder: Jostbow
Shout: Yelt
Shove: Pluve
Shovel: Pluvel
Show: Orm
Shower: Drizzer
Shrill: Pisheer
Shrimp: Stasean
Shrink: Relk
Shun: Zial
Shut: Larf
Shy: Tikmid
Sick: Chexxik
Sickness: Chexxia
Side: Doy
Sidewalk: Doykleef
Sideways: Doyyopees
Sieve: Thak
Sigh: Swah
Sight: Oreet
Sign: Jibbern
Signal: Jibnal
Signature: Jibbashar
Significance: Jibbashinnanse
Significant: Jibbashagent
Significantly: Jibbashagenti
Signify: Jibbaffet
Silence: Slunjise
Silent: Slunjit
Silk: Striff
Silken: Striffen
Silly: Stupriss
Silver: Nadir
Similar: Ekialn
Similarity: Ekialnori
Simple: Foryays
Simplicity: Foryaysiddi
Simplification: Foryaysiddishin
Simplify: Foryaysiddoy
Simply: Foryaysee
Simulate: Doxulat
Simutaneous: Provenkoddium
Sin: Lesh
Since: Kak
Sincere: Kakksin
Sincerity: Kakksinnohlue
Sinful: Leshfill
Sing: Swant
Singer: Swanteer
Singing: Swantnig
Single: Sawkat
Singular: Sawkattor
Sinister: Badister
Sink: Jook
Sinner: Lesheer
Sinularity: Sawkattoriti
Sip: Paze
Sir: Zane
Sister: Fotan
Sit: Tig
Site: Lokad
Situate: Lokaddji
Situated: Lokaddjit
Situation: Lokaddishin
Six: Varro
Sixteen: Plurvarro
Sixteenth: Plurvarroth
Sixth: Varroth
Sixtieth: Varrozanth
Sixty: Varrozan
Size: Thinj
Skate: sqeeg
Skeleton: Seqorjin
Skeptical: Dubiddep
Sketch: Skit
Skill: Stromahk 
Skillful: Stromahkfill
Skillfully: Stromahkfillon
Skin: Sqen
Skip: Poss
Skirt: Kilt
Skull: Qorbaraid
Sky: Ambrozium
Skyscraper: Ambroziumskriker
Slander: Serplell
Slang: Rubeen
Slant: Zlix
Slap: JalffKlab
Slaughter: Waynmeek
Slave: Plaje
Slavery: Plajori
Sleep: Snool 
Sleepy: Snoolli
Sleeve: Tift
Sleigh: Slin
Slender: Nairkob
Slice: Nelj
Slide: Skide
Slight: Bleet
Slightly: Bleetly
Slim: Nair
Slip: Pilch
Slippery: Pilcherry
Slope: Plozlik
Slow: Thit
Slowly: Thitly
Sly: Trikstotiff
Small: Posmall
Smart: Kognate
Smash: Smish
Smear: Blurch
Smell: Snill
Smile: Zellik
Smoke: Chim
Smoking: Chimnig
Smooth: Thoonj
Smother: Svaller
Smudgy: Blurchy
Snake: Parthon
Snapshot: Koesqiff
Snatch: Barg
Sneeze: Niff 
Sneezing: Niffnig 
Snore: Grore
Snow: Plohd
Snowing: Plohdnig
Snowstorm: Plohdshard
So: Zoh
Soak: Saht
Soap: Dagrat
Sob: Heeb
Sobbing: Heebnig
Sober: Kire
Sociable: Dinrooy
Social: Dinrool
Socialism: Jabandazm
Society: Jabandidy
Sock: Verkah
Sofa: Tash
Soft: Dwem
Soften: Dwemmin
Soil: Yith
Sold: Svont
Soldier: Udarg
Sole: Arnk
Solemn: Arnkin
Solicit: Kitleon
Solid: Penchid
Solid: Saggid
Solidity: Saggidity
Solitary: Saggiojji
Solitude: Verglukti
Solution: Quaverrvid
Solve: Ransoll
Somber: Nigak
Some Mesoe
Somebody: Mesomordat
Something: Mesoedring
Sometimes: Mesoabbas
Somewhat: Mesoduht
Somewhere: Mesoe’thilla
Son: Moli
Song: Swint 
Soon: Foon
Soot: Trah
Soothe: Soothin
Sore: Rige
Sorrow: Onjerreef
Sorry: Sonarsh
Sort: Norst
Soul: Kohgattma
Sound: Slun
Soundless: Slunjise
Soup: Druse
Sour: Pittart
Source: Terse
South: Ronth
Southern: Ronthern
Soviet: Rozarrian
Space: Spate
Spanish:  Spahrone
Spare: Sayff
Spark: Flar
Sparkle: Flarral
Sparrow: Gannak
Speak: Hoik
Spear: Jout
Spear: Joux
Special: Verseal
Specialist: Versealleer
Speciality: Verseallity
Species: Jibbays
Specific: Folbrufik
Spectacle: Appakrill
Spectator: Appakron
Speech: Holelch
Speed: Speet
Spell: Tuskrib
Spelling: Tuskribnig
Spend: Poynd
Sphere: Serrount
Sphinx: Libora
Spice: Hort
Spicy: Horty
Spider: Durklich
Spill: Smill
Spin: Rote
Spinach: Garroosh
Spine: Rij
Spirit: Atma
Spiritual: Atmanual
Spit: Spottle
Spite: Zoert
Splash: Sploesh
Splendid: Lusseed
Splendor: Lussiar
Split: Sqelt
Spoil: Deekqat
Spoiled: Deekqattad
Sponge: Varnj
Spontaneous: Fujinnagah
Spoon: Spritle or Chid
Sport: Starn
Spot: Prot
Spouse: Joylens
Spread: Frond
Spring: Gring
Spur: Spar
Spurn: Sparn
Sqeak: Weech
Square: Sqayg
Squeeze: Krimz
Squirrel: Burblik
Stabilize: Onayshet
Stable: Onaysh
Stack: Fliff
Staff: Wandiff
Stage: Graje
Stain: Blart
Stairs: Dodars
Stake: Kesqah.
Stammer: Stutwir
Stamp: Plimp
Stand: Quinnt
Standard: Splanjeed
Staple: Klart
Star: Shar
Starch: Bisk
Stare: Lilm
Stars: Sharrin
Start: Spliot
Starve: ReUnguish
State: (Let me state) Polt
State: Provounti
Statement: Polteent
Station: Trilten
Stationary: Triltenary
Statistic: Wontetik
Statium: Pliddium
Statue: Bronzlue
Staunch: Flohnch
Stay: Greer
Steady: Kobay
Steak: Griltek
Steam: Snaff
Steamship: SnaffKorft
Steel: Myoarrex
Steep: Harch
Steer: Frohm
Stem: Planch
Stength: Traygth
Stenograph: Hinposseen
Step: Koip
Stern: Muelt
Stew: Gowl
Stick: Twark
Sticky: Natsoy
Stiff: Tarv
Stiffen: Tarven
Still: Chill
Stilled: Stromahkt
Stimulant: Telchahkant
Stimulate: Telchahkoit
Sting: Brins
Stinginess: Brinsinnoss
Stingy: Brinsy
Stir: Squrn
Stitch: Zvich
Stock: Bonk
Stockholder: Bonkgrapneer
Stocking: Bonknig
Stomach: Bolgut
Stone: Thobe
Stony: Thobay
Stool: Binch
Stoop: Dramp
Stop: Hoit
Stopper: Hoitter
Store: Zahngirt
Stories: Dokreessis
Storm: Shard
Stormy: Shardy
Story: Dokreess
Stout: Chuhnt
Stove: Strave
Straight: Vrent
Straighten: Vrenten
Strain: Vrain
Strange: Qulaynj
Stranger: Qulaynjeer
Strap: Banilt
Stratosphere: Stratahserrount
Straw: Serraw
Strawberry: Serrawpruse
Stream: Fleam
Streched: Krahntsed
Street: Strahzoe
Streetcar: Strahzovarroom
Strengthen: Traygthen
Strenuous: Vrainioos
Stress: Lazz
Stretch: Krahnts
Stretches: Krahntses
Stretching: Krahntsnig
Strict: Temmuet
Stride: Peesh
Strike: Klab
String: Vosbont
Strip: Naysh
Stripe: Pripe
Stroke: Qink
Stroll: Stron
Strong: Trang
Structure: Knostrum
Struggle: Gleestrum
Stubborn: Braitrang
Student: Kohgneer 
Studies: Kohgnies
Studio: Reffio
Study: Kohgny
Stuff: Luff
Stuffing: Luffnig
Stuffy: Luffy
Stumble: Gontall
Stun: Smeen
Stung: Perbu
Stunt: Smeent
Stupendous: Apleddour
Stupid: Yarkohg
Stupidity: Yarkohgnity
Stupor: Yarrupe
Sturdy: Tranaysh
Stutter: Dibbler
Style: Stylot
Stylish: Stylotish
Subdue: Tekhan
Subject: Panplot
Subjugate: Panplotate
Submission: Sibmusshon 
Submissive: Sibmussiff
Submit: Sibbaft
Subordinate: Sibjagernate
Subordination: Sibjagernoah
Subscribe: Sibskrib
Subscription: Sibskribbishin
Subsequently: Sibflurrovay
Subsidiary: Sibfodrennoe
Subsist: Gladrit
Substance: Gladrinz
Substantial: Sibsequah
Substitute: Sibtharfoe
Substitution: Sibtharfoeshin
Subtle: Gradoot
Subtract: Sibvoit
Subtraction: Sibvoishin
Suburb: Burraboos
Subway: Sibbopee
Succeed:  Vikteed
Success: Vikteess
Successful: Vikteessfill
Succession: Viktesshin
Successor: Viktesseer
Such: Jich
Sudden: Jaygen
Suddenly: Jaygenly
Suddenness: Jaygennoss
Suffer: Langwar 
Suffering: Langwarnig
Suffice: Suffij
Sufficient: Suffijjin
Sugar: Shugi
Suggest: Koggest
Suggestion: Koggestshin
Suicide: Sukrola
Suit: Lant
Suitable: Lantellon
Sulfur: Emfod
Sulk: Mobe
Sum: Qerm
Summary: Qermmarri
Summer: Hehkume
Summit: Hehkmit
Summon: Holem
Sumptuous: Glorbanoos
Sum-up: Qermpun
Sun: Tess
Sunday: Suwachi’estoe
Sunny: Tessy
Sunrise: Tessklayn
Sunset: Tessteg
Suntan: Tessyeeth
Superb: Perbluss
Superficial: Parbrezial
Superfluous: Parbreziyous
Superior: Parbrezior
Superiority: Parbreziority
Superstition: Partillythum
Supervice: Parbrezion
Supper: Chelloegarb
Supplement: Nerflaymont
Supplementary: Nerflaymontoy
Supply: Nerflay
Support: Ahsade
Supposition: Ahsaddeshin 
Suppress: Konqish
Supreme: Chifform
Sure: Swire
Surely: Swirely
Surface: Extersi
Surgeon: Opjeon
Surgery: Opjoreye
Surmise: Taychise
Surpass: Gressim
Surplus: Sursess
Surprise: Astonz
Surprising: Astonznig
Surrender: Kapittube
Surrendering: Kapittunig
Surround: Perrije
Surrounded: Perrijeed
Surrounding: Perreejnig
Survey: Vewtam
Survive: Fellije
Susceptibility: Resepmittiality
Susceptible: Resepmittal
Suspecion: Dubweon
Suspect: Dubwart
Suspicious: Dubweose
Sustain:  Nainjate
Swallow: Gultim
Swamp: Quagswam
Swear: Vowch
Sweat: Perst
Sweater: Pertrest
Sweden: Sweorin
Swedish: Sweon
Sweep: Sweesh
Sweeping: Sweeshnig
Sweeps: Sweeshes
Sweet: Quafe
Swell: Pory
Swept: Sweesht
Swim: Trohgwa
Swindle: Chiboot
Swindler: Chibooteer
Swing: Spurnts
Swinging: Spuntsnig
Swiss: Vizzreon
Switch: Shyfisk
Switzerland: Vizzriyith
Sword: Penchka 
Swordfish: Penchkashiff
Syllable: Norkail
Symbol: Bolsym
Symbolic: Bolsymbik
Symmetrical: Memahhoe
Sympathize: Thezzarran
Sympathizer: Thezzarranneer
Sympathy: Thezzarray
Symphony: Thezzkomoy
Symposium: Komeezzium
Symptom: Minmar
Synagogue: Ahsemmolig
Synthetic: Jynqattiff
Syringe: Leeswurn
Syrup: Rupri
System: Apparn
Systematic: Apparniak
T
Table: Tanken
Tablecloth: Tankensheem
Tablespoon: Tankenspritle
Tact: Klort
Tactfully: Klortfilly
Tactless: Klortloss
Tail: Ropol
Tailor: Neminneer
Take: Nach or Klake
Tale: Thomoos
Talent: Retsent
Talk: Telm
Talkative: Telmotave
Tall: Ptom
Tame: Brist
Tangle: Sneargle
Tank: Panzoor
Tap: pinj
Tape: Krip
Tar: blikkrudj
Target: Buldot
Tarnish: Skuglish
Tarty: Vliteo
Task: Ronk
Taste: Kulst
Tastless: Kulstloss
Tasty: Kulsti
Tax: Lody
Taxi: Rixi
Tea: Nam
Teach: Vassnok
Teacher: Vassnokeer
Team: Dayns
Teapot: Namreyoot
Tear: Plah
Tease: Fuen
Teaspoon: Namspritle
Technical: Tashoffal
Technician: Tashoffeer
Technique: Tashoffqah
Tedious: Seratoos
Teenager: Pleogeln
Teeth: Grito
Telegraph: Kayleegrif
Telephone: Kaylekom
Telescope: Kaylejarkorit
Television: Kayleorich
Tell: Lell
Temperature: Permutio
Temorary: Permerary
Temper: Permute
Temperate: Permutat
Tempest: Shardtem
Temple: Shappel
Tempt: Permt
Temptation: Permtishin
Tempted: Permtid
Ten: Plurzan
Tend: Wolt
Tendency: Woltiar
Tender: Woltia
Tennis: Sinnop
Tense: Lazz
Tension: Lazziam
Tent: Puphoss
Tentative: Qayimon
Tenth: Plurzanth
Tepid: Lukarm
Term: Slan
Terminal: Slaniggo
Terrace: Blibwah
Terrible: Banderboel
Terrify: Banderoy
Territory: Yithklaylion
Terror: Bandor
Test: Tryt
Testify: Beawwimmon
Testimony: Beawimmi
Text: Narxt
Textbook: Narxtoar
Than: Thon
Thank you: Darlettoe Ina
Thank: Darlettoe
Thankful: Darlettfill
That: Thet
Thaw: Thwin
The: De
Theater: Ormhoss
Theatrical: Ormhossreol
Theft: Myert
Their: Thar
Them: Tham
Theme: Thame
Themselves: Thamsulfs
Then: Tharn
Theory: Vishwat
There: Sillah
Thereafter: Sillahflum
Thereby: Sillahboe
Therefore: Sillahrofe
Thermometer: Chagreestrum
Thermostat: Chagreetat
These: Thase
Thesis: Disqiss
They: Thoy
Thick: Kusk
Thief: Myerteer
Thigh: Frim
Thill: Anstill
Thimble: Kaygerd
Thin: Slink
Thing: Dring
Think: Rokahg
Third: Zigith
Thirst: Japqah
Thirsty: Japqahoy
Thirteen: Purzig
Thirteenth: Purziggith
Thirtieth: Zigzanth
Thirty: Zigzan
This: Thes
Thorn: Thife
Thorough: Folbrunt
Thoroughfare: Strazzoe
Those: Thuse
Though: Threen
Thoughful: Kahgnahfill
Thoughless: Kahgnahloss
Thought: Kahgnah
Thousand: Bersand
Thousandth: Bersandth
Thrash: Sharth
Thread: Zvitsbrin
Threat: Warrin
Threaten: Warrintim
Threatening: Warrinnig
Three: Zig
Threshold: Doblerch
Thrift: Prukan
Thrifty: Prukanni
Thrive: Kaynale
Thriving: Kaynaelnig
Throat: Sprak
Throb: Pulz
Throne: Abmoy
Throng: Thrinj
Through: Thrope
Throughout: Throtout
Throw: Hur
Thumb: Pollem
Thunder: Durnen
Thundering: Durnennig
Thunderstorm: Durnenshard
Thursday: Quhellestoe
Thus: Soom
Ticket: Pronket
Tickle: Mesble
Ticklish: Meslish
Tide: Quade
Tidiness: Klenthinoss
Tidy: Klenthy
Tie: Fet 
Tigar: Rutgit
Tight: Sqeet
Till: Plin
Timber: Rahven
Time: Abba
Timepiece: Abbannak
Timid: Tikjore
Timidly: Tikjoerly
Tin: Plubum
Tiny: koomposs
Tip: Spynt
Tipsy: Spyntsi
Tire: Troun
Tired: Snooli
Tireless: Snooliss
Tiresome: Mesoesnooli
Title: Meoke
To: Ote
Toast: Draysk
Tobacco: Tabiqqoe
Today: Otestoe
Toe: Brog
Toenail: Brogrivletch
Together: Otennarysh
Toil: Sibbor
Toilet: Kohlear 
Token: Vouchamp
Tolerable: Perduljible
Tolerance: Perduljans
Tolerant: Perduljent
Tolerate: Perduljanx
Tomato: Likoeffrat
Tomb:  Inturblore
Tomorrow: Oetromeern
Ton: Span
Tone: Tellugess
Tongue: Wherg
Tonight: Otechelloe
Too: Oot
Tool: Makkaff
Tooth: Grita
Toothbrush: Swinchgrita
Toothpaste: Gleestgrinta
Top: Gepp
Toquilla: Quilkoda 
Torch: Firyosh
Torment: Mu’eem
Torture: Mu’tair
Toss: Hur
Total: Komfekt
Totally: Komfekti
Touch: Brinj
Touching: Brinjnig
Touchy: Brinji
Tough: Ensvig
Tour: Tripunt
Tourist: Tripuntist
Tournament: Lobriffishin
Toward: Twid
Towel: Welchnigsheem
Towel: swahd
Tower: Lotore
Town: Helm
Toy: Yote
Trace: Disseen 
Track: Tazzle
Tractor: Tazzive
Trade: Swanage 
Tradition: Tradeetzin
Traditional: Tradeetzinill
Traffic: Fiktarf
Tragedy: Mitakeli
Tragic: Mitakell
Train: Koalch
Training: Koalchnig
Trait: Tatah
Traitor: Traygayd
Trample: Plowsqish
Tranquility: Relndomyzie
Tranquilize: Relndommize
Tranquilizer: Relndommizor
Tranquill: Relnfil
Transaction: Shiffpreetoyn
Transfer: Shiffet
Transform: Shifforn
Transformation: Shiffornashin
Transgress: Behar
Transit: Nidznart
Transition: Nidznarshin
Translate: Nidzkail
Translation: Nidzkailshin
Translator: Nidzkaileer
Transmission: Nidzmusshon
Transmit: Midzmot
Transparent: Midspers
Trap: Qwasp
Trash: Poyhune
Travel: Yothel
Traveler: Yothellor
Tray: Sheeb or Salsel
Treacherous: Perfiddoleth
Treachery: Perdiddolay
Treason: Traygon
Treasure: Jewjim
Treasurer: Jewjimmeer
Treat: Twort
Treatment: Twortent
Treaty: Matturk
Tree: Nifirch
Tremble: Jiggamp
Trembling: Jiggampnig
Trememdous: Jiggerrat
Tremor: Quippar
Trend: Dinj
Tresury: Jewsory
Trial: Shurtbram
Triangle: Zigpanpish
Tribe: Fylan or Pajoes
Trifle: Frovetti
Trifling: Frovettnig
Trim:  Toki
Trimmed: Tokit
Trimming: Tokinnig
Trip: Yoth
Triple: Ziggell
Triumph:  Oovlard
Trivial: Frovetti 
Tropical: Rontherbun
Trot: Paysk
Trouble: Verqard
Troubled: Verqardad
Trousers: Shalps
Truck: Pakk
Trunk: Wedoe
Trust: Ofarst
Trustworthy: Ofarstfrejji
Truth: Ofari
Truthful: Ofariffil
Try: Gole
T-shit:  Botress
Tuesday: Davestoe
Tumble: Eprohw
Tumult: Dinrum
Tune: Lomid
Tunnel: Fewskull
Turban: Rahban
Turkey: (Nation: Thaktoria)
Turkey: Stevvane
Turmoil: Dismultan
Turn: Stewg
Turned: Stewged
Turning: Stewgnig
Turns: Stewgs
Twelfth: Plurtannith
Twelve: Plurtan
Twentieth: Tanzanth
Twenty: Tanzan
Twice: Tanbol
Twilight: Akkanyosh
Twin: Tanjee
Twins: Tanjees
Twist: Twisk
Two: Tan
Type: (Kind: Kintope) 
Type: Selnt
Typewriter: Selntuskribber
Typical: Madjayim
Typist: Selnteer
Tyranny: Dessoli
Tyrant: Dessoleer
U
Ugly: Posserj
Ultimate: Groznial
Umbrella: Sayjsleffa
Unable: Oinstromah
Unaffected: Oinbordosh
Unanimous: Eelgalziff
Unattainable: Oinnemitteo
Unattractive: Oindrawzennave
Unaware: Oinelzen
Unbearable: Oinbahjorbeo
Unbelievable: Oinfayfeelleo
Unbreakable: Oinheeskeo
Unbutton: Oinbatin
Uncertain: Oinbateen
Uncle: Drafnue
Uncomfortable: Oinsoothinneo
Uncommon: Oinrarnommeo
Unconscious: Oinsaykohg
Unconsciousness: Oinsaykohgnoss
Uncover: Oinverkitch
Undecided: Oindomaytid
Undeniable: Oinkonfewweo
Under: Pahkor
Underestimate: Pahkorsolispeet 
Undergo: Pahkorgoy
Underline: Pahkorsqayg
Understand: Dopanskad
Understandable: Dopanskadeo
Understanding: Dopanskadnig
Undertake: Pahkorklake
Undertaker: Pahkorklakeer
Underwear: Pahkordudz
Undeserved: Oinpalloyt
Undesirable: Oinluzireo
Undo: Oinode
Undoubtedly: Oinskeppidly
Undress: Oinkass
Uneasiness: Oinyaysinoss
Uneasy: Oinyaysi
Uneducated: Oinkahgnahkatid
Unemployed: Oinponkeet
Unemployment: Oinponkeepent
Unequal: Oinlokeb
Uneven: Oinvyon
Unexpected: Oinpekketad
Unexpectedly: Oinpekketadly
Unfair: Oinharb
Unfaithful: Oinfayfeeli
Unfavorable: Oinsvamateo
Unfeeling: Oineppsnig
Unfinished: Oinfamrisht
Unforgettable: Oinrofyerreo
Unforseen: Oinroforit
Unfortunate: Oinkizmittal
Unfriendly: Oindinrooly
Ungraceful: OinFaveo
Unhappy: Oinjoykah
Unharm: Oinmot
Unhealthy: Oinremhelty
Unheard: Oinmuet
Uniform: Praykiffrn
Uniformity: Praykifornity
Unify: Prayki
Unimportant: Oinherrayik
Unintentional: OinNefarunal
Unintentionally: Oinefarunalli
Union: Praykion
Unit: Prayt
Unite: Prayk
United States: Praykt Provountis
Universal: Praykiddim
Universe: Praykiddis
University: Praykiddium
Unjust: Oinroy
Unkind: Oinkintoe
Unknown: Oinkognahn
Unlawful: Ointaveshill
Unless: Oinkass
Unlike: Oinkile
Unlimited: Oinsekket
Unlock: Oinbrookuff
Unlocked: Oinbrookuft
Unlucky: OinLa’eeshi
Unmarried: Oinglagst
Unmerciful: Oinfulfahnfill
Unnatural: Oinlkarvon
Unnecessary: Oinwoseetes
Unoccupied: Oinditrahlayed
Unpack: Oinklard
Unpleasant: Oinplejillt
Unprofitable: Oinponeetibell
Unprotected: Oinbahtowed
Unpublished: Oinsheppesht
Unquestioned: Oinblyquinnt
Unravel: OinSnarook
Unreal: Oinmoyyel
Unreasonable: Oinkahganneo
Unreliable: Ointrusteo
Unrestrained: Oinrovellt
Unripe: Oinsalj
Unroll: Oinflan
Unsafe: Oinram
Unsatisfactory: Oingenjiggery
Unsatisfied: Oingenjiggert
Unscrupulous: Oinsiseejoes
Unselfish: Oinsulfish
Unsociable: Oindinooyoe
Unsophisticated: Oinmahprispt
Unsteady: Oinkobay
Unsuccessful: Oinvikteessfill
Unsuitable: Oinlantelloneo
Untidy: Oinroykt
Until: Ointeel
Untrue: Oin’Ofari
Unusual: Oinurseol
Unwell: Oindall
Unwilling: Oindellnig
Unwillingly: Oindellniggeo
Unwise: Oinsagajent
Unworthy: Oinpalloyt
Up: Ip or Pun
Uphold: Pungarp
Upkeep: Iproyk or Punroyk
Upper: Ipper
Upright: Iptahj or Punleet
Uprising: Ipklaynig
Upset: Ipteg
Upside: Ipdoy
Upstairs: Ipdodars or pundodars
Upward: Iptwid or Puntwid
Urge: Urt 
Urgency: Urtweni
Us: Oos
Use: Urse
Used: Urst
Useful: Ursfill
Useless: Ursliss
Usual: Urseol
Usually: Urseoli
Utility: Winkomia
Utilize: Winkomeze
Utmost: Utsquat
Utter: Oolell
Utterly: Oolelli
V
Vacant: Dochi
Vacation: Dochishin
Vaccinate: Inokonate
Vaccination: Inokonashin
Vacuum: Qwussum
VacuumCleaner: Qwussumklenther
Vague: Nime
Vain: Dowd
Valiant: Korffiant
Valid: Tavorn
Validity: Tavorniat
Valley: Jibvlun
Valuable: Pamuteo
Value: Pamue
Valve: Shunk
Vanilla: Laniffa
Vanish: Goivkish
Vanquish: Oovlard
Vapor: Mysteth
Variable: Yerribeo
Variation: Yerribishin
Varied: Yerribed
Vary: Yerribe
Vase: Urnjarrot
Vast: Extoog
Vatican: Vapokan
Vault: Trault
VCR: Ormpojan
Veal: Hajeesh
Vegetables: Yintodills
Vehicle: Klevviak
Veil: Eskutchil
Vein: Passeen
Velvet: Fizqig
Venerate: Rohortum
Veneration: Rohortumma
Vengeance: Latzurx
Ventilate: Ayrate
Ventilation: Ayratoeshin
Ventilator: Ayrator
Venture: Oomquay
Verb: Drok
Verbal: Drokkal
Verdict: Domaint
Verge: Redj
Verification: Provammishin
Verify: Provam
Versatile: Bogavot
Verse: Quip
Version: Quipshin
Vertical: Hetobanzol
Very: Koomoe
Vest: Wimst
Vex: Wex
Vibrate: Freqib
Vibration: Lokasshin
Vice versa: Haybik-laybik
Vice: Haybik
Vicinity: Lokassoe
Vicious: Kragous
Victim: throsim
Victorious: Ruvious
Victory: Ruvory
Video: Shodeo
View: Orue
Viewpoint: Oruekloid
Vigina: playett
Vigor: Rogor
Vigorous: Rogsven
Vile: Diskan
Village: Helmlet
Villain: Evlleej
Vinegar: Sout
Violate: Tressate
Violence: Trespolanse
Violent: Trespokad
Violent: Trespont
Violet: Humleat
Violin: Spriola
Violinist: Sprioleer
Virtue: Kamroo
Virtuous: Kamruous
Visa: Visa
Visible: Orittoe
Vision: Oritshin
Visit: Plugase
Visitor: Plugasor
Visual: Oritual
Vital: Kremal
Vitality: Kremallity
Vitamin: Nutrogin
Vivacious: Viattanum
Vivid: Spersid
Vividly: Spersidly
Vocabulary: Dykaillary
Vocal: Chigseel
Vocation: Jobetshin
Vodka: Qwumka
Vogue: Stylot
Voice: Chise
Void: Koit
Volume: Desmoyn
Voluntary: Nogahtury
Volunteer: Nogahteer
Vomit: Splooj
Vote: Plote
Vow: Swarth
Vowed: Swartht
Vowel: Swarrell
Voyage: Vournage
Vulgar: Dexor
Vulnerable: Rimmortayo
W
Wager: Betwag
Wages: Pongets
Waist: Chark
Waiter: Tanroeer
Wake up: swahd-ip
Walk: Klomp
Walked: Klompt
Walking: Klomnig
Walks: Klomps
Wall: Prill
Wallet: Ponkreet
Waltz: Waltz
Wander: Plevor
Want: Vont
War: Umij
Wardrobe: Dudzet
Wares: Mannutes
Warm: Hiku
Warmth: Hikuth
Warn: Siren
Warning: Sirennig
Wash: Bruhn
Waste: Sqane
Wasteful: Sqaenfill
Watch: Oritsiv
Watchfull: Oritsfill
Watching: Oritsnig
Watchman: Oritsmare
Water: Plahquar
Watercolor: Plahquarbloomun
Waterfall: Plahquardrope
Watermelon: Plahquarstarnell
Waterproof: Plahquarsoverrit
Wave: Shrage
Wax: Herx
Way: Oppee
We: Woy
Weak: Yark
Weaken: Yarkin
Weakness: Yarknoss
Wealth: Kinsiroje
Wealthy: Kinsirojee
Weapon: Vikstron
Wear: Moroze
Weariness: Moroenoss
Wearing: Moroeznig
Weary: Morozi
Weather: Thernsfer
Weave: Tweeg
Web: Kob
Wedding: Hanbind
Wednesday: Tikonestoe
Weed: Worch
Week: Estoke
Weekend: Estotroke
Weekly: Estokely
Weep: Wiam
Weigh: Qier
Weight: Qiert
Welcome: Koolome
Welfare: Rampolt
Well: Meram
Were: Wire
West: Prelst
Western: Prelstern
Westward: Prelstjorvil
Wet: Sloik
What: Dhut
Wheat: Hapreo
Wheel: Trounell
When: Whan
Whenever: Whanlakkoe
Where: Thilla
Whereas: Thillays
Whether: Dahthor
Which: Tord
Whichever: Tordlakkoe
While: Grejil
Whim: Proib
